id	gene_symbol	complex
YLR424W	SPP382	Ntr1p/Ntr2p/Prp43p complex
YBL052C	SAS3	NuA3 histone acetyltransferase complex
YJR082C	EAF6	NuA3 histone acetyltransferase complex
YOR064C	YNG1	NuA3 histone acetyltransferase complex
YPL129W	TAF14	NuA3 histone acetyltransferase complex
YPR031W	NTO1	NuA3 histone acetyltransferase complex
YDR359C	EAF1	NuA4 histone acetyltransferase complex
YEL018W	EAF5	NuA4 histone acetyltransferase complex
YFL024C	EPL1	NuA4 histone acetyltransferase complex
YFL039C	ACT1	NuA4 histone acetyltransferase complex
YGR002C	SWC4	NuA4 histone acetyltransferase complex
YHR090C	YNG2	NuA4 histone acetyltransferase complex
YHR099W	TRA1	NuA4 histone acetyltransferase complex
YJL081C	ARP4	NuA4 histone acetyltransferase complex
YJR082C	EAF6	NuA4 histone acetyltransferase complex
YNL107W	YAF9	NuA4 histone acetyltransferase complex
YNL136W	EAF7	NuA4 histone acetyltransferase complex
YOR244W	ESA1	NuA4 histone acetyltransferase complex
YPR023C	EAF3	NuA4 histone acetyltransferase complex
YDL003W	MCD1	nuclear cohesin complex
YFL008W	SMC1	nuclear cohesin complex
YIL026C	IRR1	nuclear cohesin complex
YJL074C	SMC3	nuclear cohesin complex
YPR007C	REC8	nuclear cohesin complex
YBL097W	BRN1	nuclear condensin complex
YDR325W	YCG1	nuclear condensin complex
YFR031C	SMC2	nuclear condensin complex
YLR086W	SMC4	nuclear condensin complex
YLR272C	YCS4	nuclear condensin complex
YCR035C	RRP43	Nuclear exosome complex
YDL111C	RRP42	Nuclear exosome complex
YDR280W	RRP45	Nuclear exosome complex
YGR095C	RRP46	Nuclear exosome complex
YGR158C	MTR3	Nuclear exosome complex
YGR195W	SKI6	Nuclear exosome complex
YHR069C	RRP4	Nuclear exosome complex
YHR081W	LRP1	Nuclear exosome complex
YNL232W	CSL4	Nuclear exosome complex
YOL021C	DIS3	Nuclear exosome complex
YOL142W	RRP40	Nuclear exosome complex
YOR001W	RRP6	Nuclear exosome complex
YDL132W	CDC53	nuclear ubiquitin ligase complex
YDR328C	SKP1	nuclear ubiquitin ligase complex
YJR090C	GRR1	nuclear ubiquitin ligase complex
YOL133W	HRT1	nuclear ubiquitin ligase complex
YAL033W	POP5	nucleolar ribonuclease P complex
YBL018C	POP8	nucleolar ribonuclease P complex
YBR167C	POP7	nucleolar ribonuclease P complex
YBR257W	POP4	nucleolar ribonuclease P complex
YGR030C	POP6	nucleolar ribonuclease P complex
YHR062C	RPP1	nucleolar ribonuclease P complex
YIR015W	RPR2	nucleolar ribonuclease P complex
YNL221C	POP1	nucleolar ribonuclease P complex
YNL282W	POP3	nucleolar ribonuclease P complex
YBL002W	HTB2	Nucleosomal protein complex
YBL003C	HTA2	Nucleosomal protein complex
YBR009C	HHF1	Nucleosomal protein complex
YBR010W	HHT1	Nucleosomal protein complex
YDR224C	HTB1	Nucleosomal protein complex
YDR225W	HTA1	Nucleosomal protein complex
YNL030W	HHF2	Nucleosomal protein complex
YNL031C	HHT2	Nucleosomal protein complex
YML095C	RAD10	nucleotide-excision repair factor 1 complex
YMR201C	RAD14	nucleotide-excision repair factor 1 complex
YPL022W	RAD1	nucleotide-excision repair factor 1 complex
YEL037C	RAD23	nucleotide-excision repair factor 2 complex
YER162C	RAD4	nucleotide-excision repair factor 2 complex
YDR311W	TFB1	nucleotide-excision repair factor 3 complex
YER171W	RAD3	nucleotide-excision repair factor 3 complex
YGR258C	RAD2	nucleotide-excision repair factor 3 complex
YIL143C	SSL2	nucleotide-excision repair factor 3 complex
YLR005W	SSL1	nucleotide-excision repair factor 3 complex
YPL122C	TFB2	nucleotide-excision repair factor 3 complex
YPR056W	TFB4	nucleotide-excision repair factor 3 complex
YBR114W	RAD16	nucleotide-excision repair factor 4 complex
YJR052W	RAD7	nucleotide-excision repair factor 4 complex
YKL112W	ABF1	nucleotide-excision repair factor 4 complex
YPL046C	ELC1	nucleotide-excision repair factor 4 complex
YDL207W	GLE1	Nup82 nuclear pore subcomplex
YIL115C	NUP159	Nup82 nuclear pore subcomplex
YJL061W	NUP82	Nup82 nuclear pore subcomplex
YDL116W	NUP84	Nup84p complex
YGL092W	NUP145	Nup84p complex
YGL100W	SEH1	Nup84p complex
YJR042W	NUP85	Nup84p complex
YKL057C	NUP120	Nup84p complex
YLR208W	SEC13	Nup84p complex
YAL051W	OAF1	OAF complex
YOR363C	PIP2	OAF complex
YCR095C	YCR095C	OCA complex
YDR067C	YDR067C	OCA complex
YHL029C	YHL029C	OCA complex
YNL032W	SIW14	OCA complex
YNL056W	OCA2	OCA complex
YNL099C	OCA1	OCA complex
YDL232W	OST4	oligosaccharyl transferase complex
YEL002C	WBP1	oligosaccharyl transferase complex
YGL022W	STT3	oligosaccharyl transferase complex
YGL226C-A	OST5	oligosaccharyl transferase complex
YJL002C	OST1	oligosaccharyl transferase complex
YML019W	OST6	oligosaccharyl transferase complex
YMR149W	SWP1	oligosaccharyl transferase complex
YOR085W	OST3	oligosaccharyl transferase complex
YOR103C	OST2	oligosaccharyl transferase complex
YBR060C	ORC2	Origin recognition complex
YHR118C	ORC6	Origin recognition complex
YLL004W	ORC3	Origin recognition complex
YML065W	ORC1	Origin recognition complex
YNL261W	ORC5	Origin recognition complex
YPR162C	ORC4	Origin recognition complex
YDR004W	RAD57	other DNA repair complexes
YDR076W	RAD55	other DNA repair complexes
YLR246W	ERF2	palmitoyltransferase complex
YOL110W	SHR5	palmitoyltransferase complex
YIL022W	TIM44	PAM complex
YJL104W	PAM16	PAM complex
YJR045C	SSC1	PAM complex
YKR065C	PAM17	PAM complex
YLR008C	PAM18	PAM complex
YOR232W	MGE1	PAM complex
YGL094C	PAN2	PAN complex
YKL025C	PAN3	PAN complex
YER145C	FTR1	Permease-Oxidase Complex
YMR058W	FET3	Permease-Oxidase Complex
YGL153W	PEX14	peroxin docking complex
YLR191W	PEX13	peroxin docking complex
YNL214W	PEX17	peroxin docking complex
YFL022C	FRS2	Phenylalaninine-tRNA-ligase
YLR060W	FRS1	Phenylalaninine-tRNA-ligase
YGL134W	PCL10	Pho85p/Pcl10p complex
YPL031C	PHO85	Pho85p/Pcl10p complex
YNL289W	PCL1	Pho85p/Pcl1p complex
YPL031C	PHO85	Pho85p/Pcl1p complex
YDL127W	PCL2	Pho85p/Pcl2p complex
YPL031C	PHO85	Pho85p/Pcl2p complex
YPL031C	PHO85	Pho85p/Pcl8p complex
YPL219W	PCL8	Pho85p/Pcl8p complex
YOL001W	PHO80	Pho85p/Pho80p complex
YPL031C	PHO85	Pho85p/Pho80p complex
YBR097W	VPS15	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YBR128C	ATG14	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YLR240W	VPS34	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YPL120W	VPS30	phosphatidylinositol (PtdIns) 3-kinase complex (functions in autophagy)
YBR097W	VPS15	phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting)
YLR240W	VPS34	phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting)
YLR360W	VPS38	phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting)
YPL120W	VPS30	phosphatidylinositol (PtdIns) 3-kinase complex (functions in CPY sorting)
YEL037C	RAD23	Png1p/Rad23p complex
YPL096W	PNG1	Png1p/Rad23p complex
YER149C	PEA2	polarisome complex
YLL021W	SPA2	polarisome complex
YLR319C	BUD6	polarisome complex
YIL139C	REV7	Polzeta-Rev1p complex
YOR346W	REV1	Polzeta-Rev1p complex
YPL167C	REV3	Polzeta-Rev1p complex
YEL003W	GIM4	prefoldin complex
YGR078C	PAC10	prefoldin complex
YJL179W	PFD1	prefoldin complex
YLR200W	YKE2	prefoldin complex
YML094W	GIM5	prefoldin complex
YNL153C	GIM3	prefoldin complex
YGR132C	PHB1	prohibitin complex
YGR231C	PHB2	prohibitin complex
YDL090C	RAM1	protein farnesyltransferase complex
YKL019W	RAM2	protein farnesyltransferase complex
YGL019W	CKB1	protein kinase CK2 complex
YIL035C	CKA1	protein kinase CK2 complex
YOR039W	CKB2	protein kinase CK2 complex
YOR061W	CKA2	protein kinase CK2 complex
YAL023C	PMT2	Protein O-mannosyltransferase(Pmt1p/Pmt2p)
YDL095W	PMT1	Protein O-mannosyltransferase(Pmt1p/Pmt2p)
YDL093W	PMT5	Protein O-mannosyltransferase(Pmt3p/Pmt5p)
YOR321W	PMT3	Protein O-mannosyltransferase(Pmt3p/Pmt5p)
YAL016W	TPD3	protein phosphatase type 2A complex (Cdc55p)
YDL134C	PPH21	protein phosphatase type 2A complex (Cdc55p)
YGL190C	CDC55	protein phosphatase type 2A complex (Cdc55p)
YAL016W	TPD3	protein phosphatase type 2A complex (Rts1p)
YDL134C	PPH21	protein phosphatase type 2A complex (Rts1p)
YOR014W	RTS1	protein phosphatase type 2A complex (Rts1p)
YBR188C	NTC20	Prp19-associated complex
YDR416W	SYF1	Prp19-associated complex
YGR129W	SYF2	Prp19-associated complex
YJR050W	ISY1	Prp19-associated complex
YLL036C	PRP19	Prp19-associated complex
YLR117C	CLF1	Prp19-associated complex
YMR213W	CEF1	Prp19-associated complex
YPR101W	SNT309	Prp19-associated complex
YDL030W	PRP9	Prp9p/Prp11p/Prp21p complex(SF3a complex)
YDL043C	PRP11	Prp9p/Prp11p/Prp21p complex(SF3a complex)
YJL203W	PRP21	Prp9p/Prp11p/Prp21p complex(SF3a complex)
YLL010C	PSR1	Psr1p/Whi2p complex
YOR043W	WHI2	Psr1p/Whi2p complex
YKL188C	PXA2	Pxa1p/Pxa2p complex
YPL147W	PXA1	Pxa1p/Pxa2p complex
YDR204W	COQ4	Q-biosynthetic Coq polypeptide complex
YOL096C	COQ3	Q-biosynthetic Coq polypeptide complex
YLR288C	MEC3	Rad17p/Ddc1p/Mec3p complex
YOR368W	RAD17	Rad17p/Ddc1p/Mec3p complex
YPL194W	DDC1	Rad17p/Ddc1p/Mec3p complex
YJL115W	ASF1	Rad53p/Asf1p complex
YPL153C	RAD53	Rad53p/Asf1p complex
YCR066W	RAD18	Rad6p/Rad18p complex
YGL058W	RAD6	Rad6p/Rad18p complex
YDR202C	RAV2	RAVE complex
YDR328C	SKP1	RAVE complex
YJR033C	RAV1	RAVE complex
YLR234W	TOP3	RecQ helicase-Topo III complex
YMR190C	SGS1	RecQ helicase-Topo III complex
YPL024W	RMI1	RecQ helicase-Topo III complex
YDR028C	REG1	Reg1p/Glc7p complex
YER133W	GLC7	Reg1p/Glc7p complex
YBR050C	REG2	Reg2p/Glc7p complex
YER133W	GLC7	Reg2p/Glc7p complex
YDL042C	SIR2	RENT complex
YFR028C	CDC14	RENT complex
YJL076W	NET1	RENT complex
YGL174W	BUD13	RES complex
YIR005W	IST3	RES complex
YLR016C	PML1	RES complex
YHR012W	VPS29	retromer complex
YJL053W	PEP8	retromer complex
YJL154C	VPS35	retromer complex
YOR069W	VPS5	retromer complex
YOR132W	VPS17	retromer complex
YDR279W	RNH202	ribonuclease H2 complex
YLR154C	RNH203	ribonuclease H2 complex
YNL072W	RNH201	ribonuclease H2 complex
YAL033W	POP5	ribonuclease MRP complex
YBL018C	POP8	ribonuclease MRP complex
YBR167C	POP7	ribonuclease MRP complex
YBR257W	POP4	ribonuclease MRP complex
YDR478W	SNM1	ribonuclease MRP complex
YGR030C	POP6	ribonuclease MRP complex
YHR062C	RPP1	ribonuclease MRP complex
YLR145W	RMP1	ribonuclease MRP complex
YNL221C	POP1	ribonuclease MRP complex
YNL282W	POP3	ribonuclease MRP complex
YER070W	RNR1	ribonucleoside-diphosphate reductase complex
YGR180C	RNR4	ribonucleoside-diphosphate reductase complex
YJL026W	RNR2	ribonucleoside-diphosphate reductase complex
YGR285C	ZUO1	Ribosome-associated complex (RAC)
YHR064C	SSZ1	Ribosome-associated complex (RAC)
YDR265W	PEX10	RING finger peroxin complex
YJL210W	PEX2	RING finger peroxin complex
YMR026C	PEX12	RING finger peroxin complex
YHR085W	IPI1	Rix1p complex
YHR197W	RIX1	Rix1p complex
YNL182C	IPI3	Rix1p complex
YDR289C	RTT103	RNA Degradation Complex
YGL246C	RAI1	RNA Degradation Complex
YOR048C	RAT1	RNA Degradation Complex
YBL014C	RRN6	RNA polymerase I transcription factor complex
YJL025W	RRN7	RNA polymerase I transcription factor complex
YML043C	RRN11	RNA polymerase I transcription factor complex
YBL025W	RRN10	RNA polymerase I upstream activating factor complex
YBR009C	HHF1	RNA polymerase I upstream activating factor complex
YBR010W	HHT1	RNA polymerase I upstream activating factor complex
YLR141W	RRN5	RNA polymerase I upstream activating factor complex
YMR270C	RRN9	RNA polymerase I upstream activating factor complex
YOR295W	UAF30	RNA polymerase I upstream activating factor complex
YBR229C	ROT2	Rot2p/Gtb1p complex
YDR221W	GTB1	Rot2p/Gtb1p complex
YAL013W	DEP1	Rpd3L complex
YBR095C	RXT2	Rpd3L complex
YDL076C	RXT3	Rpd3L complex
YDR207C	UME6	Rpd3L complex
YIL084C	SDS3	Rpd3L complex
YKL185W	ASH1	Rpd3L complex
YMR263W	SAP30	Rpd3L complex
YNL097C	PHO23	Rpd3L complex
YNL330C	RPD3	Rpd3L complex
YOL004W	SIN3	Rpd3L complex
YPL139C	UME1	Rpd3L complex
YPL181W	CTI6	Rpd3L complex
YMR075W	RCO1	Rpd3S complex
YNL330C	RPD3	Rpd3S complex
YOL004W	SIN3	Rpd3S complex
YPL139C	UME1	Rpd3S complex
YPR023C	EAF3	Rpd3S complex
YBL006C	LDB7	RSC complex
YCR020W-B	HTL1	RSC complex
YCR052W	RSC6	RSC complex
YDR303C	RSC3	RSC complex
YFR037C	RSC8	RSC complex
YGR056W	RSC1	RSC complex
YGR275W	RTT102	RSC complex
YHR056C	RSC30	RSC complex
YIL126W	STH1	RSC complex
YKR008W	RSC4	RSC complex
YLR033W	RSC58	RSC complex
YLR321C	SFH1	RSC complex
YLR357W	RSC2	RSC complex
YML127W	RSC9	RSC complex
YMR033W	ARP9	RSC complex
YMR091C	NPL6	RSC complex
YPR034W	ARP7	RSC complex
YER125W	RSP5	Rsp5p/Bul1 ubiquitin ligase complex
YMR275C	BUL1	Rsp5p/Bul1 ubiquitin ligase complex
YER125W	RSP5	Rsp5p/Bul2 ubiquitin ligase complex
YML111W	BUL2	Rsp5p/Bul2 ubiquitin ligase complex
YBL103C	RTG3	Rtg1p/Rtg3p complex
YOL067C	RTG1	Rtg1p/Rtg3p complex
YLL002W	RTT109	Rtt109p/Vps75p complex
YNL246W	VPS75	Rtt109p/Vps75p complex
YCR009C	RVS161	Rvs161p/Rvs167p complex
YDR388W	RVS167	Rvs161p/Rvs167p complex
YDR159W	SAC3	Sac3p/Thp1p complex
YOL072W	THP1	Sac3p/Thp1p complex
YBR081C	SPT7	SAGA complex
YBR111W-A	SUS1	SAGA complex
YBR198C	TAF5	SAGA complex
YCL010C	SGF29	SAGA complex
YDR145W	TAF12	SAGA complex
YDR167W	TAF10	SAGA complex
YDR176W	NGG1	SAGA complex
YDR392W	SPT3	SAGA complex
YDR448W	ADA2	SAGA complex
YER164W	CHD1	SAGA complex
YGL066W	SGF73	SAGA complex
YGL112C	TAF6	SAGA complex
YGR252W	GCN5	SAGA complex
YHR099W	TRA1	SAGA complex
YLR055C	SPT8	SAGA complex
YMR223W	UBP8	SAGA complex
YMR236W	TAF9	SAGA complex
YOL148C	SPT20	SAGA complex
YPL047W	SGF11	SAGA complex
YPL254W	HFI1	SAGA complex
YDL047W	SIT4	Sap155p/Sit4p complex
YFR040W	SAP155	Sap155p/Sit4p complex
YDL047W	SIT4	Sap185p/Sit4p complex
YJL098W	SAP185	Sap185p/Sit4p complex
YDL047W	SIT4	Sap190p/Sit4p complex
YKR028W	SAP190	Sap190p/Sit4p complex
YDR181C	SAS4	SAS Complex
YMR127C	SAS2	SAS Complex
YOR213C	SAS5	SAS Complex
YER111C	SWI4	SBF complex
YLR182W	SWI6	SBF complex
YDL132W	CDC53	SCF-CDC4 complex
YDR054C	CDC34	SCF-CDC4 complex
YDR328C	SKP1	SCF-CDC4 complex
YFL009W	CDC4	SCF-CDC4 complex
YOR057W	SGT1	SCF-CDC4 complex
YER133W	GLC7	Sds22p/Glc7p complex
YKL193C	SDS22	Sds22p/Glc7p complex
YDR086C	SSS1	Sec61p translocon complex
YER087C-B	SBH1	Sec61p translocon complex
YLR378C	SEC61	Sec61p translocon complex
YBR171W	SEC66	Sec62p/Sec63p complex
YLR292C	SEC72	Sec62p/Sec63p complex
YOR254C	SEC63	Sec62p/Sec63p complex
YPL094C	SEC62	Sec62p/Sec63p complex
YDR062W	LCB2	serine C-palmitoyltransferase complex
YMR296C	LCB1	serine C-palmitoyltransferase complex
YBR103W	SIF2	Set3p complex
YCR033W	SNT1	Set3p complex
YDR155C	CPR1	Set3p complex
YGL194C	HOS2	Set3p complex
YIL112W	HOS4	Set3p complex
YKR029C	SET3	Set3p complex
YOL068C	HST1	Set3p complex
YML049C	RSE1	SF3b complex
YMR240C	CUS1	SF3b complex
YMR288W	HSH155	SF3b complex
YNL138W-A	YSF3	SF3b complex
YOR319W	HSH49	SF3b complex
YPR094W	RDS3	SF3b complex
YHR098C	SFB3	Sfb3p/Sec23p complex
YPR181C	SEC23	Sfb3p/Sec23p complex
YLR226W	BUR2	Sgv1p/Bur2p complex
YPR161C	SGV1	Sgv1p/Bur2p complex
YIL104C	SHQ1	Shq1p/Naf1p complex
YNL124W	NAF1	Shq1p/Naf1p complex
YIR022W	SEC11	signal peptidase complex
YJR010C-A	SPC1	signal peptidase complex
YLR066W	SPC3	signal peptidase complex
YML055W	SPC2	signal peptidase complex
YDL092W	SRP14	Signal recognition particle (SRP)
YKL122C	SRP21	Signal recognition particle (SRP)
YML105C	SEC65	Signal recognition particle (SRP)
YPL210C	SRP72	Signal recognition particle (SRP)
YPL243W	SRP68	Signal recognition particle (SRP)
YPR088C	SRP54	Signal recognition particle (SRP)
YDR292C	SRP101	signal recognition particle receptor complex
YKL154W	SRP102	signal recognition particle receptor complex
YDL216C	RRI1	signalosome complex
YDR179C	CSN9	signalosome complex
YIL071C	PCI8	signalosome complex
YJR084W	CSN12	signalosome complex
YMR025W	CSI1	signalosome complex
YOL117W	RRI2	signalosome complex
YGL213C	SKI8	Ski Complex
YLR398C	SKI2	Ski Complex
YPR189W	SKI3	Ski Complex
YBR112C	CYC8	Sko1p/Cyc8p/Tup1 repressor complex
YCR084C	TUP1	Sko1p/Cyc8p/Tup1 repressor complex
YNL167C	SKO1	Sko1p/Cyc8p/Tup1 repressor complex
YBR156C	SLI15	Sli15p/Bir1p complex
YJR089W	BIR1	Sli15p/Bir1p complex
YBR081C	SPT7	SLIK (SAGA-like) complex
YBR198C	TAF5	SLIK (SAGA-like) complex
YDR145W	TAF12	SLIK (SAGA-like) complex
YDR167W	TAF10	SLIK (SAGA-like) complex
YDR176W	NGG1	SLIK (SAGA-like) complex
YDR392W	SPT3	SLIK (SAGA-like) complex
YDR448W	ADA2	SLIK (SAGA-like) complex
YER164W	CHD1	SLIK (SAGA-like) complex
YGL066W	SGF73	SLIK (SAGA-like) complex
YGL112C	TAF6	SLIK (SAGA-like) complex
YGL252C	RTG2	SLIK (SAGA-like) complex
YGR252W	GCN5	SLIK (SAGA-like) complex
YHR099W	TRA1	SLIK (SAGA-like) complex
YMR223W	UBP8	SLIK (SAGA-like) complex
YMR236W	TAF9	SLIK (SAGA-like) complex
YOL148C	SPT20	SLIK (SAGA-like) complex
YPL254W	HFI1	SLIK (SAGA-like) complex
YBR228W	SLX1	Slx1p/Slx4p complex
YLR135W	SLX4	Slx1p/Slx4p complex
YDL013W	SLX5	Slx5p/Slx8p complex
YER116C	SLX8	Slx5p/Slx8p complex
YDL105W	NSE4	smc5p-Smc6p complex
YDR288W	NSE3	smc5p-Smc6p complex
YEL019C	MMS21	smc5p-Smc6p complex
YER038C	KRE29	smc5p-Smc6p complex
YLR007W	NSE1	smc5p-Smc6p complex
YLR383W	SMC6	smc5p-Smc6p complex
YML023C	NSE5	smc5p-Smc6p complex
YOL034W	SMC5	smc5p-Smc6p complex
YAL030W	SNC1	SNARE complex
YGR009C	SEC9	SNARE complex
YPL232W	SSO1	SNARE complex
YDR477W	SNF1	Snf1p/Snf4p/Gal83p complex
YER027C	GAL83	Snf1p/Snf4p/Gal83p complex
YGL115W	SNF4	Snf1p/Snf4p/Gal83p complex
YDR422C	SIP1	Snf1p/Snf4p/Sip1p complex
YDR477W	SNF1	Snf1p/Snf4p/Sip1p complex
YGL115W	SNF4	Snf1p/Snf4p/Sip1p complex
YDR477W	SNF1	Snf1p/Snf4p/Sip2p complex
YGL115W	SNF4	Snf1p/Snf4p/Sip2p complex
YGL208W	SIP2	Snf1p/Snf4p/Sip2p complex
YMR095C	SNO1	Sno1p/Snz1p complex
YMR096W	SNZ1	Sno1p/Snz1p complex
YJR104C	SOD1	Sod1p/Ccs1p complex
YMR038C	CCS1	Sod1p/Ccs1p complex
YAL047C	SPC72	SPB components
YBR109C	CMD1	SPB components
YDR356W	SPC110	SPB components
YKL042W	SPC42	SPB components
YNL225C	CNM67	SPB components
YOR373W	NUD1	SPB components
YPL124W	SPC29	SPB components
YFL005W	SEC4	Sro1p/Sec4p/Sec9p complex
YGR009C	SEC9	Sro1p/Sec4p/Sec9p complex
YPR032W	SRO7	Sro1p/Sec4p/Sec9p complex
YBR283C	SSH1	Ssh1p translocon complex
YDR086C	SSS1	Ssh1p translocon complex
YER019C-A	SBH2	Ssh1p translocon complex
YBL016W	FUS3	STE5-MAPK complex
YDL159W	STE7	STE5-MAPK complex
YDR103W	STE5	STE5-MAPK complex
YLR362W	STE11	STE5-MAPK complex
YDR178W	SDH4	Succinate dehydrogenase complex (complex II)
YKL141W	SDH3	Succinate dehydrogenase complex (complex II)
YKL148C	SDH1	Succinate dehydrogenase complex (complex II)
YLL041C	SDH2	Succinate dehydrogenase complex (complex II)
YGR244C	LSC2	Succinyl-CoA ligase
YOR142W	LSC1	Succinyl-CoA ligase
YFR030W	MET10	sulfite reductase complex (NADPH)
YJR137C	ECM17	sulfite reductase complex (NADPH)
YDR310C	SUM1	Sum1p/Rfm1p/Hst1p complex
YOL068C	HST1	Sum1p/Rfm1p/Hst1p complex
YOR279C	RFM1	Sum1p/Rfm1p/Hst1p complex
YBR036C	CSG2	Sur1p/Csg2p complex
YPL057C	SUR1	Sur1p/Csg2p complex
YAR042W	SWH1	Swh1p/Nvj1p complex
YHR195W	NVJ1	Swh1p/Nvj1p complex
YBR289W	SNF5	SWI/SNF complex
YDR073W	SNF11	SWI/SNF complex
YFL049W	SWP82	SWI/SNF complex
YGR275W	RTT102	SWI/SNF complex
YHL025W	SNF6	SWI/SNF complex
YJL176C	SWI3	SWI/SNF complex
YMR033W	ARP9	SWI/SNF complex
YNR023W	SNF12	SWI/SNF complex
YOR290C	SNF2	SWI/SNF complex
YPL016W	SWI1	SWI/SNF complex
YPL129W	TAF14	SWI/SNF complex
YPR034W	ARP7	SWI/SNF complex
YAL011W	SWC3	Swr1p complex
YBR231C	SWC5	Swr1p complex
YDR190C	RVB1	Swr1p complex
YDR334W	SWR1	Swr1p complex
YDR485C	VPS72	Swr1p complex
YFL039C	ACT1	Swr1p complex
YGR002C	SWC4	Swr1p complex
YJL081C	ARP4	Swr1p complex
YLR085C	ARP6	Swr1p complex
YLR385C	SWC7	Swr1p complex
YML041C	VPS71	Swr1p complex
YNL107W	YAF9	Swr1p complex
YPL235W	RVB2	Swr1p complex
YDR285W	ZIP1	Synaptonemal complex (SC)
YGL249W	ZIP2	Synaptonemal complex (SC)
YIL072W	HOP1	Synaptonemal complex (SC)
YLR263W	RED1	Synaptonemal complex (SC)
YDL134C	PPH21	Tap42p/Pph21p/Rrd2p complex
YMR028W	TAP42	Tap42p/Pph21p/Rrd2p complex
YPL152W	RRD2	Tap42p/Pph21p/Rrd2p complex
YDL047W	SIT4	Tap42p/Sit4p/Rrd1p complex
YIL153W	RRD1	Tap42p/Sit4p/Rrd1p complex
YMR028W	TAP42	Tap42p/Sit4p/Rrd1p complex
YIL009C-A	EST3	Telomerase
YLR233C	EST1	Telomerase
YLR318W	EST2	Telomerase
YDR138W	HPR1	THO complex
YHR167W	THP2	THO complex
YML062C	MFT1	THO complex
YNL139C	RLR1	THO complex
YGR181W	TIM13	Tim8p/Tim13p complex
YJR135W-A	TIM8	Tim8p/Tim13p complex
YCL061C	MRC1	Tof1p/Mrc1p/Csm3p complex
YMR048W	CSM3	Tof1p/Mrc1p/Csm3p complex
YNL273W	TOF1	Tof1p/Mrc1p/Csm3p complex
YHR186C	KOG1	TORC 1 complex
YJR066W	TOR1	TORC 1 complex
YNL006W	LST8	TORC 1 complex
YPL180W	TCO89	TORC 1 complex
YER093C	TSC11	TORC 2 complex
YIL105C	SLM1	TORC 2 complex
YJL058C	BIT61	TORC 2 complex
YKL203C	TOR2	TORC 2 complex
YMR068W	AVO2	TORC 2 complex
YNL006W	LST8	TORC 2 complex
YNL047C	SLM2	TORC 2 complex
YOL078W	AVO1	TORC 2 complex
YIL079C	AIR1	TRAMP complex (Air1p)
YJL050W	MTR4	TRAMP complex (Air1p)
YOL115W	PAP2	TRAMP complex (Air1p)
YDL175C	AIR2	TRAMP complex (Air2p)
YJL050W	MTR4	TRAMP complex (Air2p)
YOL115W	PAP2	TRAMP complex (Air2p)
YDL084W	SUB2	transcription export complex
YDR381W	YRA1	transcription export complex
YNL253W	TEX1	transcription export complex
YKL058W	TOA2	transcription factor TFIIA complex
YOR194C	TOA1	transcription factor TFIIA complex
YBR198C	TAF5	transcription factor TFIID complex
YCR042C	TAF2	transcription factor TFIID complex
YDR145W	TAF12	transcription factor TFIID complex
YDR167W	TAF10	transcription factor TFIID complex
YER148W	SPT15	transcription factor TFIID complex
YGL112C	TAF6	transcription factor TFIID complex
YGR274C	TAF1	transcription factor TFIID complex
YML015C	TAF11	transcription factor TFIID complex
YML098W	TAF13	transcription factor TFIID complex
YML114C	TAF8	transcription factor TFIID complex
YMR005W	TAF4	transcription factor TFIID complex
YMR227C	TAF7	transcription factor TFIID complex
YMR236W	TAF9	transcription factor TFIID complex
YPL011C	TAF3	transcription factor TFIID complex
YPL129W	TAF14	transcription factor TFIID complex
YKL028W	TFA1	transcription factor TFIIE complex
YKR062W	TFA2	transcription factor TFIIE complex
YGR005C	TFG2	transcription factor TFIIF complex
YGR186W	TFG1	transcription factor TFIIF complex
YPL129W	TAF14	transcription factor TFIIF complex
YDL108W	KIN28	transcription factor TFIIH complex
YDR079C-A	TFB5	transcription factor TFIIH complex
YDR311W	TFB1	transcription factor TFIIH complex
YDR460W	TFB3	transcription factor TFIIH complex
YER171W	RAD3	transcription factor TFIIH complex
YIL143C	SSL2	transcription factor TFIIH complex
YLR005W	SSL1	transcription factor TFIIH complex
YPL122C	TFB2	transcription factor TFIIH complex
YPR025C	CCL1	transcription factor TFIIH complex
YPR056W	TFB4	transcription factor TFIIH complex
YER148W	SPT15	transcription factor TFIIIB complex
YGR246C	BRF1	transcription factor TFIIIB complex
YNL039W	BDP1	transcription factor TFIIIB complex
YAL001C	TFC3	transcription factor TFIIIC complex
YBR123C	TFC1	transcription factor TFIIIC complex
YDR362C	TFC6	transcription factor TFIIIC complex
YGR047C	TFC4	transcription factor TFIIIC complex
YOR110W	TFC7	transcription factor TFIIIC complex
YPL007C	TFC8	transcription factor TFIIIC complex
YBR143C	SUP45	translation release factor complex
YDR172W	SUP35	translation release factor complex
YBR254C	TRS20	TRAPP complex
YDR108W	GSG1	TRAPP complex
YDR246W	TRS23	TRAPP complex
YDR407C	TRS120	TRAPP complex
YDR472W	TRS31	TRAPP complex
